"Postcode"	"City"	"Usage"	"Municipality code"	"Municipality"	"Region code"	"Region"	"Latitude"	"Longitude"	"Quality code"	"Quality description"
1614	"Fredrikstad"	"Gateadresser"	106	"Fredrikstad"	1	"Østfold"	59.23	10.92	2	"Koordinatane er kontrollerte av ein yr.no-brukar"
1615	"Fredrikstad"	"Gateadresser"	106	"Fredrikstad"	1	"Østfold"	59.25	10.92	2	"Koordinatane er kontrollerte av ein yr.no-brukar"
1616	"Fredrikstad"	"Postboksar"	106	"Fredrikstad"	1	"Østfold"	59.23	10.98	1	"Koordinatane gjeld postkontoret"
1617	"Fredrikstad"	"Gateadresser"	106	"Fredrikstad"	1	"Østfold"	59.23	10.97	2	"Koordinatane er kontrollerte av ein yr.no-brukar"
1618	"Fredrikstad"	"Gateadresser"	106	"Fredrikstad"	1	"Østfold"	59.23	10.98	2	"Koordinatane er kontrollerte av ein yr.no-brukar"
1619	"Fredrikstad"	"Gateadresser"	106	"Fredrikstad"	1	"Østfold"	59.23	10.97	2	"Koordinatane er kontrollerte av ein yr.no-brukar"
1620	"Gressvik"	"Postboksar"	106	"Fredrikstad"	1	"Østfold"	59.22	10.91	1	"Koordinatane gjeld postkontoret"
1621	"Gressvik"	"Gateadresser og postboksar"	106	"Fredrikstad"	1	"Østfold"	59.22	10.87	5	"Koordinatane er retta av ein yr.no-brukar"
1624	"Gressvik"	"Gateadresser"	106	"Fredrikstad"	1	"Østfold"	59.23	10.9	2	"Koordinatane er kontrollerte av ein yr.no-brukar"
1625	"Manstad"	"Postboksar"	106	"Fredrikstad"	1	"Østfold"	59.26	10.79	1	"Koordinatane gjeld postkontoret"
1626	"Manstad"	"Gateadresser"	106	"Fredrikstad"	1	"Østfold"	59.27	10.77	1	"Koordinatane er kontrollerte av yr.no"
1628	"Engelsviken"	"Gateadresser"	106	"Fredrikstad"	1	"Østfold"	59.25	10.74	2	"Koordinatane er kontrollerte av ein yr.no-brukar"
1629	"Gamle Fredrikstad"	"Postboksar"	106	"Fredrikstad"	1	"Østfold"	59.2	10.96	1	"Koordinatane gjeld postkontoret"
1630	"Gamle Fredrikstad"	"Gateadresser"	106	"Fredrikstad"	1	"Østfold"	59.2	10.96	2	"Koordinatane er kontrollerte av ein yr.no-brukar"
1632	"Gamle Fredrikstad"	"Gateadresser"	106	"Fredrikstad"	1	"Østfold"	59.2	10.95	2	"Koordinatane er kontrollerte av ein yr.no-brukar"
1633	"Gamle Fredrikstad"	"Gateadresser"	106	"Fredrikstad"	1	"Østfold"	59.2	10.97	2	"Koordinatane er kontrollerte av ein yr.no-brukar"
1634	"Gamle Fredrikstad"	"Gateadresser"	106	"Fredrikstad"	1	"Østfold"	59.18	11.05	2	"Koordinatane er kontrollerte av ein yr.no-brukar"
1636	"Gamle Fredrikstad"	"Gateadresser"	106	"Fredrikstad"	1	"Østfold"	59.22	10.97	2	"Koordinatane er kontrollerte av ein yr.no-brukar"
1637	"Gamle Fredrikstad"	"Gateadresser"	106	"Fredrikstad"	1	"Østfold"	59.21	10.98	2	"Koordinatane er kontrollerte av ein yr.no-brukar"
1638	"Gamle Fredrikstad"	"Postboksar"	106	"Fredrikstad"	1	"Østfold"	59.22	11.01	5	"Koordinatane er retta av ein yr.no-brukar"
1639	"Gamle Fredrikstad"	"Gateadresser"	106	"Fredrikstad"	1	"Østfold"	59.21	11	2	"Koordinatane er kontrollerte av ein yr.no-brukar"
1640	"Råde"	"Gateadresser"	135	"Råde"	1	"Østfold"	59.35	10.87	5	"Koordinatane er retta av ein yr.no-brukar"
1641	"Råde"	"Postboksar"	135	"Råde"	1	"Østfold"	59.35	10.86	2	"Koordinatane er kontrollerte av ein yr.no-brukar"
1642	"Saltnes"	"Gateadresser og postboksar"	135	"Råde"	1	"Østfold"	59.3	10.76	2	"Koordinatane er kontrollerte av ein yr.no-brukar"
1650	"Sellebakk"	"Postboksar"	106	"Fredrikstad"	1	"Østfold"	59.23	11	5	"Koordinatane er retta av ein yr.no-brukar"
1651	"Sellebakk"	"Gateadresser"	106	"Fredrikstad"	1	"Østfold"	59.22	10.99	2	"Koordinatane er kontrollerte av ein yr.no-brukar"
1653	"Sellebakk"	"Gateadresser"	106	"Fredrikstad"	1	"Østfold"	59.23	10.99	2	"Koordinatane er kontrollerte av ein yr.no-brukar"
1654	"Sellebakk"	"Gateadresser"	106	"Fredrikstad"	1	"Østfold"	59.23	11.01	2	"Koordinatane er kontrollerte av ein yr.no-brukar"
1655	"Sellebakk"	"Gateadresser"	106	"Fredrikstad"	1	"Østfold"	59.22	11.06	5	"Koordinatane er retta av ein yr.no-brukar"
1657	"Torp"	"Gateadresser"	106	"Fredrikstad"	1	"Østfold"	59.24	11.02	2	"Koordinatane er kontrollerte av ein yr.no-brukar"
1658	"Torp"	"Gateadresser"	106	"Fredrikstad"	1	"Østfold"	59.25	11.02	5	"Koordinatane er retta av ein yr.no-brukar"
1659	"Torp"	"Gateadresser"	106	"Fredrikstad"	1	"Østfold"	59.26	11.08	5	"Koordinatane er retta av ein yr.no-brukar"
1661	"Rolvsøy"	"Gateadresser"	106	"Fredrikstad"	1	"Østfold"	59.25	11	2	"Koordinatane er kontrollerte av ein yr.no-brukar"
1662	"Rolvsøy"	"Postboksar"	106	"Fredrikstad"	1	"Østfold"	59.25	10.99	1	"Koordinatane gjeld postkontoret"
1663	"Rolvsøy"	"Gateadresser"	106	"Fredrikstad"	1	"Østfold"	59.25	10.99	2	"Koordinatane er kontrollerte av ein yr.no-brukar"
1664	"Rolvsøy"	"Gateadresser"	106	"Fredrikstad"	1	"Østfold"	59.26	11	2	"Koordinatane er kontrollerte av ein yr.no-brukar"
1665	"Rolvsøy"	"Gateadresser"	106	"Fredrikstad"	1	"Østfold"	59.27	11	2	"Koordinatane er kontrollerte av ein yr.no-brukar"
1666	"Rolvsøy"	"Gateadresser"	106	"Fredrikstad"	1	"Østfold"	59.27	11.02	2	"Koordinatane er kontrollerte av ein yr.no-brukar"
1667	"Rolvsøy"	"Gateadresser"	106	"Fredrikstad"	1	"Østfold"	59.29	11	2	"Koordinatane er kontrollerte av ein yr.no-brukar"
1670	"Kråkerøy"	"Postboksar"	106	"Fredrikstad"	1	"Østfold"	59.21	10.94	1	"Koordinatane gjeld postkontoret"
1671	"Kråkerøy"	"Gateadresser"	106	"Fredrikstad"	1	"Østfold"	59.21	10.94	5	"Koordinatane er retta av ein yr.no-brukar"
1672	"Kråkerøy"	"Gateadresser"	106	"Fredrikstad"	1	"Østfold"	59.2	10.94	2	"Koordinatane er kontrollerte av ein yr.no-brukar"
1673	"Kråkerøy"	"Gateadresser"	106	"Fredrikstad"	1	"Østfold"	59.19	10.94	2	"Koordinatane er kontrollerte av ein yr.no-brukar"
1675	"Kråkerøy"	"Gateadresser"	106	"Fredrikstad"	1	"Østfold"	59.18	10.94	5	"Koordinatane er retta av ein yr.no-brukar"
1676	"Kråkerøy"	"Gateadresser"	106	"Fredrikstad"	1	"Østfold"	59.15	10.94	2	"Koordinatane er kontrollerte av ein yr.no-brukar"
1678	"Kråkerøy"	"Gateadresser"	106	"Fredrikstad"	1	"Østfold"	59.2	10.91	2	"Koordinatane er kontrollerte av ein yr.no-brukar"
1679	"Kråkerøy"	"Gateadresser"	106	"Fredrikstad"	1	"Østfold"	59.18	10.93	1	"Koordinatane er kontrollerte av yr.no"
1680	"Skjærhalden"	"Gateadresser"	111	"Hvaler"	1	"Østfold"	59.03	11.03	2	"Koordinatane er kontrollerte av ein yr.no-brukar"
1682	"Skjærhalden"	"Postboksar"	111	"Hvaler"	1	"Østfold"	59.03	11.03	1	"Koordinatane gjeld postkontoret"
1683	"Vesterøy"	"Postboksar"	111	"Hvaler"	1	"Østfold"	59.11	10.91	1	"Koordinatane gjeld postkontoret"
1684	"Vesterøy"	"Gateadresser"	111	"Hvaler"	1	"Østfold"	59.11	10.93	5	"Koordinatane er retta av ein yr.no-brukar"
1690	"Herføl"	"Gateadresser"	111	"Hvaler"	1	"Østfold"	58.99	11.05	1	"Koordinatane er kontrollerte av yr.no"
1692	"Nedgården"	"Gateadresser"	111	"Hvaler"	1	"Østfold"	59.01	11.07	5	"Koordinatane er retta av ein yr.no-brukar"
1701	"Sarpsborg"	"Postboksar"	105	"Sarpsborg"	1	"Østfold"	59.28	11.11	1	"Koordinatane gjeld postkontoret"
1702	"Sarpsborg"	"Postboksar"	105	"Sarpsborg"	1	"Østfold"	59.28	11.11	1	"Koordinatane gjeld postkontoret"
1703	"Sarpsborg"	"Postboksar"	105	"Sarpsborg"	1	"Østfold"	59.28	11.11	1	"Koordinatane gjeld postkontoret"
1704	"Sarpsborg"	"Postboksar"	105	"Sarpsborg"	1	"Østfold"	59.28	11.11	1	"Koordinatane gjeld postkontoret"
1705	"Sarpsborg"	"Postboksar"	105	"Sarpsborg"	1	"Østfold"	59.29	11.1	2	"Koordinatane er kontrollerte av ein yr.no-brukar"
1706	"Sarpsborg"	"Gateadresser"	105	"Sarpsborg"	1	"Østfold"	59.28	11.12	2	"Koordinatane er kontrollerte av ein yr.no-brukar"
1707	"Sarpsborg"	"Gateadresser"	105	"Sarpsborg"	1	"Østfold"	59.29	11.11	2	"Koordinatane er kontrollerte av ein yr.no-brukar"
1708	"Sarpsborg"	"Gateadresser"	105	"Sarpsborg"	1	"Østfold"	59.38	11.16	2	"Koordinatane er kontrollerte av ein yr.no-brukar"
1709	"Sarpsborg"	"Gateadresser"	105	"Sarpsborg"	1	"Østfold"	59.3	11.11	2	"Koordinatane er kontrollerte av ein yr.no-brukar"
1710	"Sarpsborg"	"Gateadresser"	105	"Sarpsborg"	1	"Østfold"	59.3	11.1	2	"Koordinatane er kontrollerte av ein yr.no-brukar"
1711	"Sarpsborg"	"Gateadresser"	105	"Sarpsborg"	1	"Østfold"	59.28	11.09	2	"Koordinatane er kontrollerte av ein yr.no-brukar"
1712	"Grålum"	"Gateadresser"	105	"Sarpsborg"	1	"Østfold"	59.3	11.05	2	"Koordinatane er kontrollerte av ein yr.no-brukar"
1713	"Grålum"	"Postboksar"	105	"Sarpsborg"	1	"Østfold"	59.29	11.06	2	"Koordinatane er kontrollerte av ein yr.no-brukar"
1714	"Sarpsborg"	"Serviceboksar"	105	"Sarpsborg"	1	"Østfold"	59.28	11.11	1	"Koordinatane er kontrollerte av yr.no"
1715	"Yven"	"Gateadresser"	105	"Sarpsborg"	1	"Østfold"	59.28	11.06	2	"Koordinatane er kontrollerte av ein yr.no-brukar"
1718	"Greåker"	"Gateadresser"	105	"Sarpsborg"	1	"Østfold"	59.27	11.05	2	"Koordinatane er kontrollerte av ein yr.no-brukar"
1719	"Greåker"	"Gateadresser"	105	"Sarpsborg"	1	"Østfold"	59.27	11.04	1	"Koordinatane er kontrollerte av yr.no"
1720	"Greåker"	"Postboksar"	105	"Sarpsborg"	1	"Østfold"	59.27	11.03	2	"Koordinatane er kontrollerte av ein yr.no-brukar"
1721	"Sarpsborg"	"Gateadresser"	105	"Sarpsborg"	1	"Østfold"	59.28	11.12	2	"Koordinatane er kontrollerte av ein yr.no-brukar"
1722	"Sarpsborg"	"Gateadresser"	105	"Sarpsborg"	1	"Østfold"	59.27	11.11	2	"Koordinatane er kontrollerte av ein yr.no-brukar"
1723	"Sarpsborg"	"Gateadresser"	105	"Sarpsborg"	1	"Østfold"	59.28	11.1	2	"Koordinatane er kontrollerte av ein yr.no-brukar"
1724	"Sarpsborg"	"Gateadresser"	105	"Sarpsborg"	1	"Østfold"	59.28	11.1	2	"Koordinatane er kontrollerte av ein yr.no-brukar"
1725	"Sarpsborg"	"Gateadresser"	105	"Sarpsborg"	1	"Østfold"	59.28	11.09	2	"Koordinatane er kontrollerte av ein yr.no-brukar"
1726	"Sarpsborg"	"Gateadresser"	105	"Sarpsborg"	1	"Østfold"	59.29	11.13	2	"Koordinatane er kontrollerte av ein yr.no-brukar"
1727	"Sarpsborg"	"Gateadresser"	105	"Sarpsborg"	1	"Østfold"	59.3	11.12	2	"Koordinatane er kontrollerte av ein yr.no-brukar"
1730	"Ise"	"Gateadresser og postboksar"	105	"Sarpsborg"	1	"Østfold"	59.3	11.22	5	"Koordinatane er retta av ein yr.no-brukar"
1733	"Hafslundsøy"	"Postboksar"	105	"Sarpsborg"	1	"Østfold"	59.29	11.15	5	"Koordinatane er retta av ein yr.no-brukar"
1734	"Hafslundsøy"	"Gateadresser"	105	"Sarpsborg"	1	"Østfold"	59.3	11.15	2	"Koordinatane er kontrollerte av ein yr.no-brukar"
1735	"Varteig"	"Gateadresser"	105	"Sarpsborg"	1	"Østfold"	59.36	11.19	2	"Koordinatane er kontrollerte av ein yr.no-brukar"
1738	"Borgenhaugen"	"Gateadresser"	105	"Sarpsborg"	1	"Østfold"	59.27	11.15	2	"Koordinatane er kontrollerte av ein yr.no-brukar"
1739	"Borgenhaugen"	"Gateadresser"	105	"Sarpsborg"	1	"Østfold"	59.27	11.18	5	"Koordinatane er retta av ein yr.no-brukar"
1740	"Borgenhaugen"	"Postboksar"	105	"Sarpsborg"	1	"Østfold"	59.27	11.17	2	"Koordinatane er kontrollerte av ein yr.no-brukar"
1742	"Klavestadhaugen"	"Postboksar"	105	"Sarpsborg"	1	"Østfold"	59.25	11.18	1	"Koordinatane gjeld postkontoret"
1743	"Klavestadhaugen"	"Gateadresser"	105	"Sarpsborg"	1	"Østfold"	59.25	11.18	2	"Koordinatane er kontrollerte av ein yr.no-brukar"
1745	"Skjeberg"	"Postboksar"	105	"Sarpsborg"	1	"Østfold"	59.21	11.19	2	"Koordinatane er kontrollerte av ein yr.no-brukar"
1746	"Skjeberg"	"Gateadresser"	105	"Sarpsborg"	1	"Østfold"	59.21	11.19	1	"Koordinatane er kontrollerte av yr.no"
1747	"Skjeberg"	"Gateadresser"	105	"Sarpsborg"	1	"Østfold"	59.19	11.18	5	"Koordinatane er retta av ein yr.no-brukar"
1751	"Halden"	"Postboksar"	101	"Halden"	1	"Østfold"	59.13	11.39	1	"Koordinatane gjeld postkontoret"
1752	"Halden"	"Postboksar"	101	"Halden"	1	"Østfold"	59.13	11.39	1	"Koordinatane gjeld postkontoret"
1753	"Halden"	"Postboksar"	101	"Halden"	1	"Østfold"	59.13	11.39	1	"Koordinatane gjeld postkontoret"
1754	"Halden"	"Postboksar"	101	"Halden"	1	"Østfold"	59.13	11.39	1	"Koordinatane gjeld postkontoret"
1756	"Halden"	"Firma med eige postnummer"	101	"Halden"	1	"Østfold"	59.13	11.39	1	"Koordinatane er kontrollerte av yr.no"
1757	"Halden"	"Firma med eige postnummer"	101	"Halden"	1	"Østfold"	59.13	11.35	5	"Koordinatane er retta av ein yr.no-brukar"
1758	"Halden"	"Firma med eige postnummer"	101	"Halden"	1	"Østfold"	59.13	11.38	1	"Koordinatane er kontrollerte av yr.no"
1760	"Halden"	"Postboksar"	101	"Halden"	1	"Østfold"	59.14	11.38	2	"Koordinatane er kontrollerte av ein yr.no-brukar"
1761	"Halden"	"Postboksar"	101	"Halden"	1	"Østfold"	59.12	11.41	1	"Koordinatane gjeld postkontoret"
1763	"Halden"	"Gateadresser"	101	"Halden"	1	"Østfold"	59.19	11.34	5	"Koordinatane er retta av ein yr.no-brukar"
1764	"Halden"	"Gateadresser"	101	"Halden"	1	"Østfold"	59.18	11.48	5	"Koordinatane er retta av ein yr.no-brukar"
1765	"Halden"	"Gateadresser"	101	"Halden"	1	"Østfold"	59.02	11.45	5	"Koordinatane er retta av ein yr.no-brukar"
1766	"Halden"	"Gateadresser"	101	"Halden"	1	"Østfold"	59.99	11.54	5	"Koordinatane er retta av ein yr.no-brukar"
1767	"Halden"	"Gateadresser"	101	"Halden"	1	"Østfold"	59.12	11.39	2	"Koordinatane er kontrollerte av ein yr.no-brukar"
1768	"Halden"	"Gateadresser"	101	"Halden"	1	"Østfold"	59.11	11.4	5	"Koordinatane er retta av ein yr.no-brukar"
1769	"Halden"	"Gateadresser"	101	"Halden"	1	"Østfold"	59.11	11.41	2	"Koordinatane er kontrollerte av ein yr.no-brukar"
1771	"Halden"	"Gateadresser"	101	"Halden"	1	"Østfold"	59.12	11.38	2	"Koordinatane er kontrollerte av ein yr.no-brukar"
1772	"Halden"	"Gateadresser"	101	"Halden"	1	"Østfold"	59.13	11.4	2	"Koordinatane er kontrollerte av ein yr.no-brukar"
1776	"Halden"	"Gateadresser"	101	"Halden"	1	"Østfold"	59.13	11.38	2	"Koordinatane er kontrollerte av ein yr.no-brukar"
1777	"Halden"	"Gateadresser"	101	"Halden"	1	"Østfold"	59.13	11.39	2	"Koordinatane er kontrollerte av ein yr.no-brukar"
1778	"Halden"	"Gateadresser"	101	"Halden"	1	"Østfold"	59.14	11.38	2	"Koordinatane er kontrollerte av ein yr.no-brukar"
1779	"Halden"	"Gateadresser"	101	"Halden"	1	"Østfold"	59.14	11.38	2	"Koordinatane er kontrollerte av ein yr.no-brukar"
1781	"Halden"	"Gateadresser"	101	"Halden"	1	"Østfold"	59.13	11.37	2	"Koordinatane er kontrollerte av ein yr.no-brukar"
1782	"Halden"	"Gateadresser"	101	"Halden"	1	"Østfold"	59.14	11.37	2	"Koordinatane er kontrollerte av ein yr.no-brukar"
1783	"Halden"	"Gateadresser"	101	"Halden"	1	"Østfold"	59.14	11.35	2	"Koordinatane er kontrollerte av ein yr.no-brukar"
1784	"Halden"	"Gateadresser"	101	"Halden"	1	"Østfold"	59.14	11.39	2	"Koordinatane er kontrollerte av ein yr.no-brukar"
1785	"Halden"	"Gateadresser"	101	"Halden"	1	"Østfold"	59.14	11.41	2	"Koordinatane er kontrollerte av ein yr.no-brukar"
1786	"Halden"	"Gateadresser"	101	"Halden"	1	"Østfold"	59.13	11.41	2	"Koordinatane er kontrollerte av ein yr.no-brukar"
1787	"Berg i Østfold"	"Postboksar"	101	"Halden"	1	"Østfold"	59.12	11.31	1	"Koordinatane gjeld postkontoret"
1788	"Berg i Østfold"	"Gateadresser"	101	"Halden"	1	"Østfold"	59.12	11.31	2	"Koordinatane er kontrollerte av ein yr.no-brukar"
1789	"Berg i Østfold"	"Gateadresser"	101	"Halden"	1	"Østfold"	59.13	11.29	1	"Koordinatane er kontrollerte av yr.no"
1790	"Tistedal"	"Postboksar"	101	"Halden"	1	"Østfold"	59.12	11.45	1	"Koordinatane gjeld postkontoret"
1791	"Tistedal"	"Gateadresser"	101	"Halden"	1	"Østfold"	59.14	11.44	5	"Koordinatane er retta av ein yr.no-brukar"
1792	"Tistedal"	"Gateadresser"	101	"Halden"	1	"Østfold"	59.13	11.44	5	"Koordinatane er retta av ein yr.no-brukar"
1793	"Tistedal"	"Gateadresser"	101	"Halden"	1	"Østfold"	59.11	11.43	2	"Koordinatane er kontrollerte av ein yr.no-brukar"
1794	"Sponvika"	"Gateadresser"	101	"Halden"	1	"Østfold"	59.1	11.23	2	"Koordinatane er kontrollerte av ein yr.no-brukar"
1796	"Kornsjø"	"Gateadresser"	101	"Halden"	1	"Østfold"	58.94	11.67	2	"Koordinatane er kontrollerte av ein yr.no-brukar"
1798	"Aremark"	"Gateadresser"	118	"Aremark"	1	"Østfold"	59.22	11.7	1	"Koordinatane er kontrollerte av yr.no"
1799	"Aremark"	"Postboksar"	118	"Aremark"	1	"Østfold"	59.25	11.68	1	"Koordinatane er kontrollerte av yr.no"
